,0
1083,JHU-000225
1084,JHU-000516
1085,JHU-002459
1086,JHU-000224
1087,JHU-002454
1088,JHU-002455
1089,JHU-001297
1090,JHU-001481
1091,JHU-000223
1092,JHU-000515
1093,JHU-002458
1094,JHU-000428
1095,JHU-002456
1096,JHU-002209
1097,JHU-002208
1098,JHU-002213
1099,JHU-000514
1100,JHU-002214
1101,JHU-002212
1102,JHU-002210
1103,JHU-002188
1104,JHU-000207
1105,JHU-002207
1106,JHU-002206
1107,JHU-002204
1108,JHU-000509
1109,JHU-005263
1110,JHU-002231
1111,JHU-005262
1112,JHU-002230
1113,JHU-002223
1114,JHU-002225
1115,JHU-002216
1116,JHU-002227
1117,JHU-002232
1118,JHU-002222
1119,JHU-002221
1120,JHU-005265
1121,JHU-005264
1122,JHU-002215
1123,JHU-002217
1124,JHU-002218
1125,JHU-002219
1126,JHU-002224
1127,JHU-002228
1128,JHU-002220
1129,JHU-002229
1130,JHU-002226
1131,JHU-000508
1132,JHU-000517
1133,JHU-002383
1134,JHU-002335
1135,JHU-002350
1136,JHU-002321
1137,JHU-002386
1138,JHU-002346
1139,JHU-002330
1140,JHU-002402
1141,JHU-002357
1142,JHU-002311
1143,JHU-002367
1144,JHU-002301
1145,JHU-002318
1146,JHU-002352
1147,JHU-002293
1148,JHU-002364
1149,JHU-002362
1150,JHU-002400
1151,JHU-002344
1152,JHU-002289
1153,JHU-002359
1154,JHU-002372
1155,JHU-002369
1156,JHU-002319
1157,JHU-002351
1158,JHU-002296
1159,JHU-002404
1160,JHU-002401
1161,JHU-002287
1162,JHU-002339
1163,JHU-002297
1164,JHU-002398
1165,JHU-002360
1166,JHU-002349
1167,JHU-002376
1168,JHU-002388
1169,JHU-002393
1170,JHU-002363
1171,JHU-002355
1172,JHU-005267
1173,JHU-002403
1174,JHU-002327
1175,JHU-002294
1176,JHU-002337
1177,JHU-002298
1178,JHU-002309
1179,JHU-002290
1180,JHU-002306
1181,JHU-002370
1182,JHU-002347
1183,JHU-002373
1184,JHU-002302
1185,JHU-002323
1186,JHU-002291
1187,JHU-002292
1188,JHU-002305
1189,JHU-002303
1190,JHU-002300
1191,JHU-002396
1192,JHU-002354
1193,JHU-002392
1194,JHU-002336
1195,JHU-002391
1196,JHU-002384
1197,JHU-002397
1198,JHU-002375
1199,JHU-002308
1200,JHU-002380
1201,JHU-002342
1202,JHU-002371
1203,JHU-002324
1204,JHU-002304
1205,JHU-002368
1206,JHU-002405
1207,JHU-002316
1208,JHU-002332
1209,JHU-002390
1210,JHU-002288
1211,JHU-002333
1212,JHU-002329
1213,JHU-002406
1214,JHU-002377
1215,JHU-002385
